place,number,name,laps,minlap,avglap,lastlap,lap1,lap2,lap3,lap4,lap5,total
1st,3061,Jason English,5,0:16:23.5,0:16:48.1,0:16:23.5,0:17:18.8,0:17:03.4,0:16:48.1,0:16:26.8,0:16:23.5,1:24:00.8
2nd,3224,Jay Gibson,5,0:17:03.5,0:17:30.1,0:17:50.5,0:17:16.8,0:17:03.5,0:17:35.7,0:17:43.8,0:17:50.5,1:27:30.5
3rd,195,Camryn Moores,5,0:17:43.2,0:18:00.6,0:17:43.2,0:18:09.6,0:18:00.4,0:18:06.5,0:18:03.2,0:17:43.2,1:30:03.1
4th,2086,Rodney Rae,5,0:17:56.7,0:18:08.4,0:18:28.2,0:18:08.0,0:17:56.7,0:18:09.5,0:17:59.5,0:18:28.2,1:30:42.1
5th,169,Matt La-Borg,5,0:18:17.5,0:18:28.8,0:18:30.8,0:18:46.0,0:18:25.2,0:18:24.6,0:18:17.5,0:18:30.8,1:32:24.2
6th,3321,James Schneider,5,0:18:15.3,0:18:28.9,0:18:30.5,0:18:47.0,0:18:25.5,0:18:26.0,0:18:15.3,0:18:30.5,1:32:24.5
8th,3314,Zaid Mohsen,4,0:19:31.2,0:20:30.9,0:21:38.3,0:20:12.7,0:19:31.2,0:20:41.4,0:21:38.3, ,1:22:03.8
