,Jason English,Jay Gibson,Camryn Moores,Rodney Rae,Matt La-Borg,James Schneider,Zaid Mohsen,Jorge Baron Morris,Kristof Van Hemeldonck,Rob Cornish,Archie Gibson,Anthony Rohr,Peter Morrison,Dustin Rooks,Landon Arthur,Martin Wisata,Thomas Newman,Thomas Vidler,Matthew Roberts,Shaun Jeffery,Daniel Mcilwain,Scott Mulqueeny,Aidan Rae,Terence Stockil,Zac Dillon,Paul Graber,Denis Fung,Angus Quinn,Thomas King,Tom Garnham,Peter Mcmahon,Dallas Barham,Steven Pryor,Ben Bohringer,Sam Mackenzie,John Richardson,Waz Turnbull,Michael Moy,Shane Bowen,Peter Bakewell,Sir Dean Kozlic,Mark Russell,Stuart Street,Mark Donaldson,Jason Steele,Gordon Lewins,Mathew Verschelden
gap0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gap1,0.0019290123456790122,0.0,0.05092592592592592,0.04938271604938271,0.08603395061728394,0.08699845679012345,0.16965663580246915,0.07253086419753087,0.07175925925925926,0.09278549382716049,0.08207947530864197,0.11159336419753087,0.109375,0.11091820987654322,0.1173804012345679,0.10050154320987655,0.1495949074074074,0.1806520061728395,0.22723765432098766,0.2286844135802469,0.27353395061728397,0.18721064814814814,1.3021797839506173,0.1478587962962963,0.14130015432098766,0.13589891975308643,0.13917824074074073,0.13078703703703703,0.16811342592592593,0.17139274691358025,0.16685956790123457,0.21633873456790123,0.18991126543209877,0.21334876543209877,0.2332175925925926,0.19309413580246915,0.18913966049382716,0.27102623456790126,0.2603202160493827,0.2776813271604938,0.2478780864197531,0.19251543209876543,0.2505787037037037,0.35281635802469136,0.39602623456790126,0.44290123456790126,0.3861882716049383
gap2,0.0009221957967286317,0.0,0.05324467310585837,0.05067223219919429,0.08294908508469641,0.0835800611561423,0.15706450516915013,0.06591273115565695,0.07047517351841964,0.09872348687084405,0.09794690093675679,0.11580837742076397,0.1168276464592535,0.11741008590981895,0.12983546085521527,0.11857496481094987,0.18715721011503178,0.23074309566567974,0.23588797747900792,0.2811241081395913,0.30912973838761343,,,0.14522156967431926,0.1493471824491579,0.14905596272387517,0.1643935349220987,0.15997670242197737,0.18642916080182498,0.18604086783478135,0.17997379022472457,0.20749405426394216,0.20579527253312624,0.2311313886327234,0.23283017036353928,0.22297723632480707,0.22870455758870067,0.2673397078095423,0.28160947434839584,0.28554094063971264,0.289423870310149,0.2645731204193564,0.3143716934427025,0.3549483084987623,0.44474105712760276,0.47546473814493034,0.47905644809008396
gap3,0.0,0.014884538970133213,0.06064553952382503,0.05989642705924503,0.0864736344982575,0.08735302739146011,0.18076409471387161,0.06520535452561639,0.08683190567696968,0.11165032732957691,0.12096537797609354,0.12988958733674233,0.1326580464449728,0.13757613262547633,0.14793342670097384,0.13112725140865714,0.20600592775950233,0.24772823502589322,0.2610819789597108,0.31456209490929227,,,,0.14526267791421033,0.14555580887861122,0.16578184542227145,0.1801452626779142,0.18037325342800378,0.19245676318275087,0.19317330554017523,0.1972445689346318,0.2093932189036902,0.22066247597954597,0.22645995505325212,0.23652411816434876,0.24759795459727063,0.255903331921962,0.2844673158974693,0.2903950753997981,0.30088264990391816,0.3069081197277139,0.30922059733576523,0.35889001074813537,0.3677816500016285,0.47171286193531575,0.4961730124092108,0.5140214311305085
gap4,0.0,0.03024327721771709,0.06965566537674693,0.06817677651524488,0.09272633161617905,0.09284957235463755,0.21357619974858888,0.07589164674274729,0.10302925735131005,0.12632175691996747,0.12937812723373837,0.13830075669813413,0.15055088610090953,0.15715658968228538,0.16647358950974833,0.17167434867269724,0.22572773656059747,0.2728549949471297,0.2733479579009637,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gap5,0.0,0.041602190215450544,0.07187636392492958,0.07961353807086458,0.0998889021148276,0.0999285799309606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
