"Club XC Round 4","","","","","","","","",""
"08/07/2018","","","","","","","","","",""
"Category Rank","Bib","Name","Laps Completed","Race Time","Lap1","Lap2","Lap3","Lap4","Lap5","Lap6"
"4","281","Ben Ruigendyk","3","01:02:34,0","0:20:55,3","0:20:50,7","0:20:48,1","","",""
"5","223","Dave Brand","3","01:03:01,0","0:21:34,7","0:20:30,4","0:20:56,0","","",""
"6","234","Alex Murphy","3","01:04:27,7","0:21:13,4","0:21:13,7","0:22:00,7","","",""
"7","257","Mikhyle Jordaan","3","01:05:04,2","0:21:28,8","0:21:39,6","0:21:55,9","","",""
"8","248","Callagan Wilson","3","01:05:43,0","0:20:56,3","0:21:48,4","0:22:58,5","","",""
"9","276","Brett Ryan","3","01:06:06,6","0:21:46,0","0:22:00,0","0:22:20,7","","",""
"10","204","James Sirmais","3","01:06:14,2","0:22:17,9","0:22:04,1","0:21:52,4","","",""
"11","266","Giles Manyweathers","3","01:06:14,5","0:22:05,0","0:22:11,0","0:21:58,6","","",""
"12","246","Michael Berg","3","01:06:24,0","0:22:40,3","0:21:54,4","0:21:49,5","","",""
"13","287","Geoff Gradden","3","01:06:52,1","0:22:12,5","0:22:08,1","0:22:31,6","","",""
"14","211","Michael Downer","3","01:07:29,9","0:22:41,6","0:22:00,6","0:22:47,8","","",""
"15","225","Roger Matthews","3","01:07:53,2","0:22:38,2","0:22:02,6","0:23:12,5","","",""
"16","250","Evan Cratchley","3","01:08:00,4","0:22:57,5","0:22:34,3","0:22:28,8","","",""
"17","260","Paul Thomson","3","01:08:00,6","0:22:46,8","0:22:43,7","0:22:30,2","","",""
"18","239","Graeme Shepherd","3","01:10:02,3","0:23:33,6","0:22:51,8","0:23:37,0","","",""
"19","222","Vince Browning","3","01:10:52,8","0:23:13,3","0:24:05,6","0:23:34,0","","",""
"20","286","Johan Hens","3","01:15:02,7","0:24:09,4","0:24:26,5","0:26:26,9","","",""
"21","245","Paul Luter","3","01:27:31,5","0:27:48,6","0:29:59,6","0:29:43,4","","",""
"-1","241","Angus Kirkpatrick-Jones","2","00:48:38,0","0:23:59,5","0:24:38,6","","","",""
"-1","256","Erik Vetisch","1","00:20:19,7","0:20:19,7","","","","",""
"C Grade Women","","","","","","","","","",""
"1","242","Emma Bonwick","2","00:55:17,6","0:28:12,5","0:27:05,2","","","",""
"2","238","Fiona Hayes Whelan-Wick","2","01:01:05,6","0:31:19,0","0:29:46,6","","","",""
"3","202","Rachael Nicholls","2","01:26:35,7","0:47:59,5","0:38:36,3","","","",""
"3"
"Club XC Round 4","","","","","","","","",""
"08/07/2018","","","","","","","","","",""
"Category Rank","Bib","Name","Laps Completed","Race Time","Lap1","Lap2","Lap3","Lap4","Lap5","Lap6"
"D Grade Men","","","","","","","","","",""
"1","315","Nicholas Parker","2","00:44:14,0","0:21:59,3","0:22:14,8","","","",""
"2","326","Helmut Vetisch","2","00:46:22,5","0:22:52,8","0:23:29,7","","","",""
"3","303","Todd Phillips","2","00:47:46,9","0:23:24,7","0:24:22,2","","","",""
"4","317","Giuseppe Spinelli","2","00:48:18,4","0:24:22,4","0:23:56,1","","","",""
"5","304","David McLennan","2","00:48:19,4","0:24:00,2","0:24:19,3","","","",""
"6","305","Richard Martinello","2","00:48:45,3","0:24:09,8","0:24:35,5","","","",""
"7","308","Mark Keller","2","00:51:50,0","0:25:24,2","0:26:25,8","","","",""
"8","327","Kendal Clark","2","00:52:43,5","0:26:24,1","0:26:19,5","","","",""
"9","321","Stuart Samson","2","00:54:25,8","0:26:18,2","0:28:07,7","","","",""
"10","316","Zac Wooldridge","2","00:55:14,8","0:26:24,3","0:28:50,6","","","",""
"11","309","Harry Keller","2","00:56:00,9","0:27:41,4","0:28:19,5","","","",""
"12","340","Daniel Goddard","2","00:58:52,7","0:27:39,0","0:31:13,7","","","",""
"13","345","Jonathan Bonora","2","01:03:33,9","0:30:27,1","0:33:06,8","","","",""
"14","343","Tim Rowe","2","01:12:00,7","0:34:45,3","0:37:15,4","","","",""
"-1","338","Mitchell Cunningham","1","00:54:26,2","0:54:26,2","","","","",""
"Under 15 Men","","","","","","","","","",""
"1","411","Reid Clarke","2","00:44:06,6","0:22:34,5","0:21:32,1","","","",""
"2","406","Jake Gordon","2","00:45:58,1","0:22:24,9","0:23:33,2","","","",""
"3","432","Luca George","2","00:46:29,7","0:23:38,8","0:22:50,9","","","",""
"4","404","Jack Strbik","2","00:48:01,9","0:23:38,1","0:24:23,8","","","",""
"5","433","Patrick Bright","2","00:51:23,1","0:25:56,4","0:25:26,8","","","",""
"6","427","Connor Blackshaw","2","00:55:17,8","0:26:24,4","0:28:53,4","","","",""
"7","434","Alex Dent","2","00:59:03,2","0:27:40,7","0:31:22,5","","","",""
"8","431","Thomas Goddard","2","01:00:49,2","0:27:16,9","0:33:32,3","","","",""
"9","408","Aidan Judd","2","01:03:00,7","0:27:51,8","0:35:09,0","","","",""
"10","437","Adam Fejes","2","01:05:23,0","0:30:15,9","0:35:07,1","","","",""
"11","435","Nick Taylor","2","01:19:19,8","0:34:27,0","0:44:52,9","","","",""
"Under 15 Women","","","","","","","","","",""
"1","436","Georgia Bonora","1","00:57:44,1","0:57:44,1","","","","",""
"4"
"Club XC Round 4","","","","","","","","",""
"08/07/2018","","","","","","","","","",""
"Category Rank","Bib","Name","Laps Completed","Race Time","Lap1","Lap2","Lap3","Lap4","Lap5","Lap6"
"Sport Mixed","","","","","","","","","",""
"1","550","Vlad Vassilieff","1","00:33:36,3","0:33:36,3","","","","",""
"Under 13 Boys","","","","","","","","","",""
"1","510","Lewis Wood","6","00:17:36,9","0:02:46,0","0:02:56,5","0:02:57,6","0:03:00,0","0:03:03,1","0:02:54,0"
"2","517","Mikko Turoczy","6","00:19:08,8","0:03:20,5","0:03:05,3","0:03:08,0","0:03:18,3","0:03:07,7","0:03:09,0"
"3","507","Tom Ebbeling","6","00:19:43,3","0:03:12,3","0:03:03,1","0:03:05,9","0:03:17,2","0:03:17,9","0:03:47,0"
"4","522","Gabe Geach-Andrews","6","00:20:53,5","0:03:31,8","0:03:22,9","0:03:28,5","0:03:26,8","0:03:25,8","0:03:38,0"
"5","520","Ashton Brueser","6","00:21:19,0","0:03:43,0","0:03:11,1","0:03:17,1","0:03:35,2","0:03:28,9","0:04:04,0"
"-1","501","Malik Hussain","5","00:18:37,1","0:03:20,4","0:03:36,0","0:03:47,4","0:03:48,4","0:04:05,1",""
"-1","509","Jeremy Thomas","5","00:19:53,0","0:03:48,0","0:03:59,3","0:03:43,0","0:04:09,9","0:04:13,0",""
"-1","519","Dan Breen","5","00:20:13,6","0:04:44,0","0:03:54,9","0:03:54,4","0:03:44,5","0:03:56,0",""
"-1","529","Patrick Doyle","5","00:21:16,9","0:04:32,1","0:03:51,0","0:04:14,7","0:04:07,8","0:04:31,5",""
"-1","508","Patrick Keller","5","00:21:24,5","0:04:22,9","0:04:05,1","0:04:13,9","0:04:43,6","0:03:59,2",""
"Under 13 Girls","","","","","","","","","",""
"1","553","Sonia Vetisch","5","00:16:10,7","0:03:18,7","0:03:10,4","0:03:14,5","0:03:11,4","0:03:15,8",""
"2","558","Maia Uberoi-Robson","5","00:16:25,6","0:03:11,1","0:03:40,1","0:03:07,4","0:03:13,6","0:03:13,5",""
"3","552","Natalie Samson","5","00:17:27,1","0:03:20,4","0:03:31,8","0:03:31,8","0:03:34,5","0:03:28,9",""
"4","557","Paris Turroczy","5","00:17:29,8","0:03:36,3","0:03:26,7","0:03:32,8","0:03:32,4","0:03:21,7",""
"-1","556","Mia Nicholls","4","00:20:00,9","0:04:51,4","0:04:57,7","0:05:02,1","0:05:09,9","",""
"5"
