"Club XC Round 4","","","","","","","","",""
"08/07/2018","","","","","","","","","",""
"Category Rank","Bib","Name","Laps Completed","Race Time","Lap1","Lap2","Lap3","Lap4","Lap5","Lap6"
"A Grade Men","","","","","","","","","",""
"1","31","Callum Carson","5","01:22:37,9","0:16:37,4","0:16:22,0","0:17:17,3","0:16:14,7","0:16:06,8",""
"2","21","Luke Brame","5","01:24:13,0","0:16:37,7","0:16:20,8","0:17:17,5","0:16:59,6","0:16:57,7",""
"3","1","Brian Price","5","01:25:45,0","0:17:01,3","0:17:09,7","0:17:08,8","0:17:07,5","0:17:18,1",""
"4","5","Benjamin Green","5","01:27:05,1","0:17:17,0","0:17:28,9","0:17:08,2","0:17:17,2","0:17:53,9",""
"5","33","Jordan Davies","5","01:27:24,2","0:17:11,3","0:17:13,7","0:17:28,8","0:17:36,8","0:17:53,9",""
"6","30","Dylan George","5","01:27:24,9","0:17:13,0","0:17:12,2","0:17:28,8","0:17:36,8","0:17:54,2",""
"7","7","Ian Anderson","5","01:28:53,3","0:17:40,7","0:17:32,1","0:18:07,4","0:17:52,3","0:17:41,0",""
"8","2","Stephen Tomczyk","5","01:33:43,6","0:18:20,3","0:18:15,6","0:18:43,3","0:18:49,7","0:19:35,0",""
"9","34","Joel Stearnes","5","01:35:48,5","0:19:03,1","0:19:10,5","0:18:45,5","0:19:13,1","0:19:36,4",""
"10","16","Troy Laughlin","5","01:39:20,8","0:19:02,2","0:19:12,3","0:20:05,1","0:20:23,8","0:20:37,6",""
"-1","41","Owen Gordon","3","00:56:25,5","0:17:50,9","0:18:53,4","0:19:41,3","","",""
"-1","26","Michael Crummy","3","01:01:24,2","0:20:31,1","0:20:35,9","0:20:17,4","","",""
"A Grade Women","","","","","","","","","",""
"1","37","Kelsey Wilkes","4","01:35:07,9","0:23:51,7","0:24:01,7","0:24:34,7","0:22:40,0","",""
"2","9","Patricia Hussain","4","01:37:02,2","0:23:51,2","0:24:01,4","0:24:34,9","0:24:34,8","",""
"3","39","Catherine Ballantyne","4","01:37:02,5","0:24:19,1","0:24:10,1","0:24:31,3","0:24:02,1","",""
"4","40","Nola Urquhart","4","01:42:43,7","0:25:29,5","0:25:32,5","0:25:59,4","0:25:42,5","",""
"1"
"Club XC Round 4","","","","","","","","",""
"08/07/2018","","","","","","","","","",""
"Category Rank","Bib","Name","Laps Completed","Race Time","Lap1","Lap2","Lap3","Lap4","Lap5","Lap6"
"B Grade Men","","","","","","","","","",""
"1","116","David Gradden","4","01:13:30,4","0:18:24,2","0:17:57,0","0:18:35,7","0:18:33,7","",""
"2","144","Simon Ebbeling","4","01:15:15,6","0:19:03,5","0:18:20,8","0:18:44,9","0:19:06,4","",""
"3","143","Andrew Williams","4","01:15:15,6","0:18:49,7","0:18:35,4","0:18:45,2","0:19:05,4","",""
"4","151","Matthew Howell","4","01:16:31,0","0:19:16,9","0:18:57,7","0:18:58,2","0:19:18,3","",""
"5","140","Patrick Howard","4","01:16:53,1","0:19:02,0","0:18:27,0","0:19:28,9","0:19:55,4","",""
"6","117","Scott Campbell","4","01:16:59,8","0:19:42,6","0:18:51,0","0:19:25,7","0:19:00,6","",""
"7","146","Tom Stringer","4","01:17:56,5","0:19:17,4","0:18:56,2","0:19:44,4","0:19:58,7","",""
"8","126","Ryan Madden","4","01:18:09,4","0:19:01,5","0:19:12,8","0:20:06,8","0:19:48,5","",""
"9","152","Bailey George","4","01:18:29,3","0:19:18,2","0:18:59,8","0:19:50,9","0:20:20,5","",""
"10","175","Matthew Vassilieff","4","01:18:50,0","0:18:37,8","0:18:45,2","0:19:52,7","0:21:34,5","",""
"11","138","Tony Deisel","4","01:19:30,2","0:19:19,3","0:19:53,0","0:20:23,5","0:19:54,6","",""
"12","127","Elton Judd","4","01:19:47,9","0:19:42,1","0:19:50,2","0:20:12,0","0:20:03,7","",""
"13","135","Philip Pidgeon","4","01:21:51,3","0:20:39,5","0:20:27,8","0:20:13,2","0:20:31,0","",""
"14","153","Craig Stofmeel","4","01:23:09,5","0:21:06,4","0:20:06,7","0:21:06,2","0:20:50,3","",""
"15","142","Matthew Padula","4","01:23:46,2","0:20:19,3","0:20:25,6","0:22:22,6","0:20:38,8","",""
"16","111","Daniel Madden","4","01:23:48,1","0:20:51,7","0:20:21,9","0:21:30,7","0:21:03,9","",""
"17","110","Rob Hall","4","01:23:50,0","0:20:16,9","0:21:09,7","0:21:32,2","0:20:51,5","",""
"18","156","Steve Podmore","4","01:23:56,1","0:21:04,9","0:21:06,5","0:21:10,0","0:20:34,9","",""
"19","158","Mark Brame","4","01:26:31,0","0:21:04,1","0:20:43,3","0:21:31,8","0:23:11,9","",""
"20","185","Matthew Brown","4","01:26:35,8","0:21:21,5","0:21:38,6","0:22:02,8","0:21:33,1","",""
"21","154","Joseph Breen","4","01:28:14,6","0:21:29,4","0:22:02,4","0:22:49,6","0:21:53,3","",""
"22","150","Kevin Wynne-Smythe","4","01:28:28,9","0:21:52,3","0:21:52,2","0:22:35,1","0:22:09,5","",""
"23","108","Matthew Roberts","4","01:29:25,1","0:21:40,7","0:22:30,3","0:22:25,3","0:22:48,9","",""
"24","130","Dominic Stammers","4","01:30:07,8","0:21:41,0","0:22:00,8","0:22:50,7","0:23:35,5","",""
"25","159","Matt Hourihan","4","01:30:52,3","0:22:35,2","0:22:58,2","0:22:25,5","0:22:53,5","",""
"26","160","Peter Robinson","4","01:36:42,6","0:23:53,1","0:22:50,2","0:25:12,5","0:24:46,9","",""
"B Grade Women","","","","","","","","","",""
"1","181","Karen Reily","3","01:13:43,5","0:24:22,0","0:24:35,9","0:24:45,7","","",""
"2","180","Erica Price","3","01:18:24,7","0:26:05,6","0:26:51,9","0:25:27,3","","",""
"3","174","Lucy Ghata","3","01:18:38,2","0:27:14,8","0:25:57,6","0:25:25,9","","",""
"4","121","Fiona Deisel","3","01:20:54,5","0:26:57,5","0:26:26,5","0:27:30,6","","",""
"2"
"Club XC Round 4","","","","","","","","",""
"08/07/2018","","","","","","","","","",""
"Category Rank","Bib","Name","Laps Completed","Race Time","Lap1","Lap2","Lap3","Lap4","Lap5","Lap6"
"C Grade Men","","","","","","","","","",""
"1","247","Matthew Hall","3","00:58:36,1","0:20:20,3","0:18:57,2","0:19:18,7","","",""
"2","288","Bradley Weston","3","00:59:12,7","0:20:38,9","0:19:27,6","0:19:06,3","","",""
"3","277","Wayne Larsen","3","01:02:25,5","0:20:39,9","0:20:52,3","0:20:53,4","","",""
