"Club XC Round 3","","","","","","","","",""
"22/05/2022","","","","","","","","","",""
"Category Rank","Bib","Name","Laps Completed","Race Time","Lap1","Lap2","Lap3","Lap4","Lap5","Lap6"
"3","529","Buddy Smith","5","00:37:36,7","0:07:48,6","0:07:28,5","0:07:23,2","0:07:35,0","0:07:21,6",""
"4","517","BERNIE DYKE","5","00:37:43,9","0:07:47,8","0:07:28,3","0:07:33,2","0:07:23,5","0:07:31,2",""
"-1","524","MAGNUS MCDAVITT","4","00:36:21,5","0:07:46,6","0:08:54,8","0:09:44,5","0:09:55,9","",""
"-1","503","JUSTIN SPITERI","4","00:38:47,5","0:09:41,4","0:08:57,2","0:09:36,8","0:10:32,3","",""
"-1","526","Luka McDavitt","4","00:42:15,4","0:10:05,8","0:08:33,3","0:09:37,8","0:13:58,7","",""
"JG13","","","","","","","","","",""
"2","555","JUNO SMITH","4","00:28:57,8","0:07:06,2","0:06:59,2","0:07:38,0","0:07:14,6","",""
"1","554","LULU GREEN","4","00:29:04,0","0:07:48,9","0:07:18,6","0:07:12,3","0:06:44,3","",""
"-1","553","NINA DYKE","3","00:28:58,7","0:10:07,3","0:09:09,8","0:09:41,6","","",""
"3"
